key	value
run_date_utc	2026-07-31T12:56:53Z
repository_head_sha	eba756652e70bfc67b9717a7aae3da5e532236c6
benchmark_scope_diff_clean	true
benchmark_scope_untracked_count	0
benchmark_code_fingerprint_sha256	298879f5849c6bb14e4ff7bbd8849987a4583c6141a791c0b94b19332056f391
image_id	sha256:a02fa4ed1270a212b88e714691e4cfebf6fc579da7e004d2cf3e73959fad4858
docker_server_version	27.4.0
docker_os	Docker Desktop
docker_architecture	x86_64
container_kernel	Linux 80591255b82d 6.10.14-linuxkit #1 SMP PREEMPT_DYNAMIC Fri Nov 29 17:24:06 UTC 2024 x86_64 Linux
container_image_architecture	amd64
repetitions	3
max_payload_bytes	65536
benchmark_exit	0
