key	value
run_date_utc	2026-07-28T11:46:10Z
repository_head_sha	c3c56e853ee878b6ae90a4df21367d7c3954b4c4
benchmark_scope_diff_clean	true
benchmark_scope_untracked_count	0
benchmark_code_fingerprint_sha256	34bee766d38ee43421cd100d3b23a387b7736c660d13bd6e28b591505bd101d4
docker_server_version	27.4.0
docker_os	linux
docker_architecture	x86_64
container_kernel	Linux c6ef908ecb51 6.10.14-linuxkit #1 SMP PREEMPT_DYNAMIC Fri Nov 29 17:24:06 UTC 2024 x86_64 Linux
image_repo_digest	sha256:0da54c706e372301237f41ec42b7f1ba03eb6969ad8b5882c3af4533cc1a011c
go_version	go1.25.12
architecture	amd64
os	linux
max_payload_bytes	1048576
