key	value
run_date_utc	2026-07-23T07:31:55Z
repository_head_sha	f75ae68dac03fa0a955a7ed6a206e909ad2b6f52
benchmark_code_fingerprint_sha256	e52784470ff33e35fb58ab142be26a345bb6a373bd2eac58666b269f56875fd6
benchmark_scope_diff_clean	false
benchmark_scope_untracked_count	0
docker_server_version	29.4.3
docker_platform	linux/aarch64 ncpu=6 memory=8322269184
container_kernel	Linux 0a8709151661 6.12.76-linuxkit #1 SMP Fri May  1 14:35:41 UTC 2026 aarch64 Linux
container_go_version	Usage of /usr/local/bin/inv004:
image_id	sha256:e61486054a080d9fc218bf17fc7dfca8a475b862025beb513bb9d4eace3c1bfc
image_repo_digest	
repeat_count	30
