key	value
run_date_utc	2026-07-28T11:43:50Z
repository_head_sha	ad908efb21f4adf347d77297db4277549f6efb68
benchmark_scope_diff_clean	true
benchmark_scope_untracked_count	0
benchmark_code_fingerprint_sha256	585b91f1a73f1359953cc313af2e1f3f7ff1f9757ee00086056c812357a78bca
image_id	sha256:003ae289e8044418898bb1f8882fb38b810f2f8de3207245075f420924600547
docker_server_version	27.4.0
docker_os	Docker Desktop
docker_architecture	x86_64
container_kernel	Linux a25bcc5fc360 6.10.14-linuxkit #1 SMP PREEMPT_DYNAMIC Fri Nov 29 17:24:06 UTC 2024 x86_64 Linux
container_image_architecture	amd64
repetitions	3
max_payload_bytes	65536
benchmark_exit	0
