key	value
run_date_utc	2026-07-29T07:26:16Z
repository_head_sha	9d26fef4fd50b2662b54221e71bff76533524353
benchmark_scope_diff_clean	false
benchmark_scope_untracked_count	0
benchmark_code_fingerprint_sha256	cb1dd3d415e35ee1f58fa3de0de6e42a2583eecb24771c915402a64776eabfa7
image_id	sha256:21b7ba85c089831c770a36cd43e6b2555f68bab756c9323c792f3a37ad28f48f
docker_server_version	29.6.2
docker_os	Docker Desktop
docker_architecture	aarch64
container_kernel	Linux 4e5bcdd083d9 6.12.76-linuxkit #1 SMP Sat Jul 11 11:18:11 UTC 2026 aarch64 Linux
container_image_architecture	arm64
repetitions	3
max_payload_bytes	65536
benchmark_exit	0
