key	value
investigation	INV-010
run_date_utc	2026-08-03T18:41:31Z
repository_head_sha	ac383fb066ef277312c09f3a77ee3a6bcf4c2bed
benchmark_scope_diff_clean	true
benchmark_code_fingerprint_sha256	edfea8c5efb2528bb1a131b8e1125c4a00aa354a011a5015272bb83086969456
host_uname	Linux denis-fomenkov 6.8.0-124-generic #124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC  x86_64 x86_64 x86_64 GNU/Linux 
docker_server_version	27.4.0
docker_architecture	x86_64
docker_operating_system	Docker Desktop 
container_kernel	Linux 735e819a7500 6.10.14-linuxkit #1 SMP PREEMPT_DYNAMIC Fri Nov 29 17:24:06 UTC 2024 x86_64 Linux
