key	value
run_date_utc	2026-09-25T11:58:20Z
repository_head_sha	06e26d7a4236c2e36eed25647173956783282390
benchmark_scope_diff_clean	true
benchmark_scope_untracked_count	22
benchmark_code_fingerprint_sha256	a372c7a39f099bdcf9c3c597de66b1d557f581113bd26b48ba7d360d2f03df3b
docker_server_version	29.8.0
docker_info	linux/aarch64 ncpu=6 memory=8320028672 kernel=7.0.12-linuxkit os=Docker Desktop
container_kernel	Linux a4e668505a6d 7.0.12-linuxkit #1 SMP PREEMPT Thu Aug 27 14:02:21 UTC 2026 aarch64 Linux
prototype_image_id	sha256:7163796c423190f18844484c41f3199964b8f469c206bf8cfc8536885b37a80e
cpu_limit	2
memory_limit_bytes	268435456
