key	value
investigation	INV-012
runtime_under_test	Minikube
minikube_profile	metricshell-inv012
minikube_version	v1.38.1
kubernetes_version	v1.34.0
prometheus_chart_version	88.1.2
run_date_utc	2026-08-03T15:47:14Z
repository_head_sha	cd62156c6f4ef985954e1ab8cf10c80d7917ca35
benchmark_scope_diff_clean	true
benchmark_code_fingerprint_sha256	caa34fb8ba97176b3c199b56ffaeb21dcabbb654fa5efd2b4da3203d79274e6c
host_uname	Linux denis-fomenkov 6.8.0-124-generic #124~22.04.1-Ubuntu SMP PREEMPT_DYNAMIC Tue May 26 21:05:19 UTC  x86_64 x86_64 x86_64 GNU/Linux 
docker_server_version	27.4.0
docker_architecture	x86_64
