key	value
run_date_utc	2026-07-23T15:21:19Z
host_os	Linux
repository_head_sha	04d3632d1eb9f6b1bd5aca73e68b48f7ef0047d6
benchmark_code_fingerprint_sha256	27e8a991546667f92abb5965c044b834c1583f710cbb060dfef81174b29bb53c
docker_server_version	27.4.0
docker_info	linux/x86_64 kernel=6.10.14-linuxkit ncpu=8 memory=3937574912 driver=overlayfs
container_kernel	Linux 239b1fac8cf2 6.10.14-linuxkit #1 SMP PREEMPT_DYNAMIC Fri Nov 29 17:24:06 UTC 2024 x86_64 Linux
image_id	sha256:ce170b9eeb8a53bcd27fc7032964cdb20205752e51f354524a2e14b52e04e280
image_repo_digest	metricshell-inv003@sha256:ce170b9eeb8a53bcd27fc7032964cdb20205752e51f354524a2e14b52e04e280
repeat_count	30
