key	value
run_date_utc	2026-07-27T18:51:08Z
repository_head_sha	330938474d9a9d00d6ce4117cfe50ad0893b23d9
benchmark_scope_diff_clean	true
benchmark_scope_untracked_count	0
benchmark_code_fingerprint_sha256	34bee766d38ee43421cd100d3b23a387b7736c660d13bd6e28b591505bd101d4
docker_server_version	29.4.3
docker_os	linux
docker_architecture	aarch64
container_kernel	Linux 79bb54b49dc8 6.12.76-linuxkit #1 SMP Fri May  1 14:35:41 UTC 2026 aarch64 Linux
image_repo_digest	sha256:280d99212b9b4acbce1c304ac57f6579ac7d55224e1136ba0500ea44eafc6e64
go_version	go1.25.9
architecture	arm64
os	linux
max_payload_bytes	1048576
